Id,Geography,key,order,value
0400000US37,North Carolina,100000 to 149999,9,10.3
0400000US37,North Carolina,150000 to 199999,10,3.5
0400000US37,North Carolina,200000+,11,3.3
0400000US38,North Dakota,Total,1,291468
0400000US38,North Dakota,<10000,2,6.8
0400000US38,North Dakota,10000 to 14999,3,4.8
0400000US38,North Dakota,15000 to 24999,4,10
0400000US38,North Dakota,25000 to 34999,5,10.4
0400000US38,North Dakota,35000 to 49999,6,14.1
0400000US38,North Dakota,75000 to 99999,7,13.9
0400000US38,North Dakota,50000 to 74999,8,18.7
0400000US38,North Dakota,100000 to 149999,9,13.4
0400000US38,North Dakota,150000 to 199999,10,3.8
0400000US38,North Dakota,200000+,11,4.1
0400000US39,Ohio,Total,1,4551497
0400000US39,Ohio,<10000,2,8.4
0400000US39,Ohio,10000 to 14999,3,5.9
0400000US39,Ohio,15000 to 24999,4,11.9
0400000US39,Ohio,25000 to 34999,5,11.2
0400000US39,Ohio,35000 to 49999,6,14.5
0400000US39,Ohio,75000 to 99999,7,11.7
0400000US39,Ohio,50000 to 74999,8,18.6
0400000US39,Ohio,100000 to 149999,9,11.1
0400000US39,Ohio,150000 to 199999,10,3.6
0400000US39,Ohio,200000+,11,3.1
0400000US40,Oklahoma,Total,1,1445059
0400000US40,Oklahoma,<10000,2,8.3
0400000US40,Oklahoma,10000 to 14999,3,6.5
0400000US40,Oklahoma,15000 to 24999,4,12.4
0400000US40,Oklahoma,25000 to 34999,5,11.9
0400000US40,Oklahoma,35000 to 49999,6,15.1
0400000US40,Oklahoma,75000 to 99999,7,11.2
0400000US40,Oklahoma,50000 to 74999,8,18.7
0400000US40,Oklahoma,100000 to 149999,9,10.1
0400000US40,Oklahoma,150000 to 199999,10,3
0400000US40,Oklahoma,200000+,11,2.8
0400000US41,Oregon,Total,1,1516591
0400000US41,Oregon,<10000,2,7.8
0400000US41,Oregon,10000 to 14999,3,5.6
0400000US41,Oregon,15000 to 24999,4,11.6
0400000US41,Oregon,25000 to 34999,5,10.8
0400000US41,Oregon,35000 to 49999,6,14.5
0400000US41,Oregon,75000 to 99999,7,12.3
0400000US41,Oregon,50000 to 74999,8,18.7
0400000US41,Oregon,100000 to 149999,9,11.7
0400000US41,Oregon,150000 to 199999,10,3.6
0400000US41,Oregon,200000+,11,3.3
0400000US42,Pennsylvania,Total,1,4945140
0400000US42,Pennsylvania,<10000,2,7.1
0400000US42,Pennsylvania,10000 to 14999,3,5.7
0400000US42,Pennsylvania,15000 to 24999,4,11.1
0400000US42,Pennsylvania,25000 to 34999,5,10.5
0400000US42,Pennsylvania,35000 to 49999,6,13.8
0400000US42,Pennsylvania,75000 to 99999,7,12.3
0400000US42,Pennsylvania,50000 to 74999,8,18.6
0400000US42,Pennsylvania,100000 to 149999,9,12.5
0400000US42,Pennsylvania,150000 to 199999,10,4.4
0400000US42,Pennsylvania,200000+,11,4.2
0400000US44,Rhode Island,Total,1,410347
0400000US44,Rhode Island,<10000,2,7.8
0400000US44,Rhode Island,10000 to 14999,3,5.6
0400000US44,Rhode Island,15000 to 24999,4,10.3
0400000US44,Rhode Island,25000 to 34999,5,9.1
0400000US44,Rhode Island,35000 to 49999,6,12.6
0400000US44,Rhode Island,75000 to 99999,7,12.5
0400000US44,Rhode Island,50000 to 74999,8,17.3
0400000US44,Rhode Island,100000 to 149999,9,14.3
0400000US44,Rhode Island,150000 to 199999,10,5.8
0400000US44,Rhode Island,200000+,11,4.7
0400000US45,South Carolina,Total,1,1781957
0400000US45,South Carolina,<10000,2,9.3
0400000US45,South Carolina,10000 to 14999,3,6.7
0400000US45,South Carolina,15000 to 24999,4,12.7
0400000US45,South Carolina,25000 to 34999,5,11.8
0400000US45,South Carolina,35000 to 49999,6,14.7
0400000US45,South Carolina,75000 to 99999,7,10.8
0400000US45,South Carolina,50000 to 74999,8,18.1
0400000US45,South Carolina,100000 to 149999,9,10
0400000US45,South Carolina,150000 to 199999,10,3.1
0400000US45,South Carolina,200000+,11,2.6
0400000US46,South Dakota,Total,1,326086
0400000US46,South Dakota,<10000,2,6.4
0400000US46,South Dakota,10000 to 14999,3,5.8
0400000US46,South Dakota,15000 to 24999,4,11.1
0400000US46,South Dakota,25000 to 34999,5,11.4
0400000US46,South Dakota,35000 to 49999,6,16
0400000US46,South Dakota,75000 to 99999,7,13.3
0400000US46,South Dakota,50000 to 74999,8,19.9
0400000US46,South Dakota,100000 to 149999,9,10.4
0400000US46,South Dakota,150000 to 199999,10,2.8
0400000US46,South Dakota,200000+,11,3
0400000US47,Tennessee,Total,1,2480467
0400000US47,Tennessee,<10000,2,8.9
0400000US47,Tennessee,10000 to 14999,3,6.6
0400000US47,Tennessee,15000 to 24999,4,13
0400000US47,Tennessee,25000 to 34999,5,12.2
0400000US47,Tennessee,35000 to 49999,6,14.9
0400000US47,Tennessee,75000 to 99999,7,10.8
0400000US47,Tennessee,50000 to 74999,8,18
0400000US47,Tennessee,100000 to 149999,9,9.7
0400000US47,Tennessee,150000 to 199999,10,3
0400000US47,Tennessee,200000+,11,2.9
0400000US48,Texas,Total,1,8965352
0400000US48,Texas,<10000,2,7.6
0400000US48,Texas,10000 to 14999,3,5.4
0400000US48,Texas,15000 to 24999,4,11.1
0400000US48,Texas,25000 to 34999,5,10.7
0400000US48,Texas,35000 to 49999,6,13.9
0400000US48,Texas,75000 to 99999,7,11.5
0400000US48,Texas,50000 to 74999,8,17.8
0400000US48,Texas,100000 to 149999,9,12.6
0400000US48,Texas,150000 to 199999,10,4.7
0400000US48,Texas,200000+,11,4.8
0400000US49,Utah,Total,1,891240
0400000US49,Utah,<10000,2,5.3
0400000US49,Utah,10000 to 14999,3,4.1
0400000US49,Utah,15000 to 24999,4,9.1
0400000US49,Utah,25000 to 34999,5,9.3
0400000US49,Utah,35000 to 49999,6,14.4
0400000US49,Utah,75000 to 99999,7,14.5
0400000US49,Utah,50000 to 74999,8,21.3
0400000US49,Utah,100000 to 149999,9,14
0400000US49,Utah,150000 to 199999,10,4.3
0400000US49,Utah,200000+,11,3.8
0400000US50,Vermont,Total,1,256563
0400000US50,Vermont,<10000,2,5.7
0400000US50,Vermont,10000 to 14999,3,6
0400000US50,Vermont,15000 to 24999,4,10.2
0400000US50,Vermont,25000 to 34999,5,10.3
0400000US50,Vermont,35000 to 49999,6,14.3
0400000US50,Vermont,75000 to 99999,7,13.8
0400000US50,Vermont,50000 to 74999,8,19.6
0400000US50,Vermont,100000 to 149999,9,12.5
0400000US50,Vermont,150000 to 199999,10,4.2
0400000US50,Vermont,200000+,11,3.5
0400000US51,Virginia,Total,1,3026761
0400000US51,Virginia,<10000,2,5.9
0400000US51,Virginia,10000 to 14999,3,4.2
0400000US51,Virginia,15000 to 24999,4,8.6
0400000US51,Virginia,25000 to 34999,5,8.8
0400000US51,Virginia,35000 to 49999,6,12.4
0400000US51,Virginia,75000 to 99999,7,12.6
0400000US51,Virginia,50000 to 74999,8,17.7
0400000US51,Virginia,100000 to 149999,9,15.2
0400000US51,Virginia,150000 to 199999,10,7
0400000US51,Virginia,200000+,11,7.6
0400000US53,Washington,Total,1,2634496
0400000US53,Washington,<10000,2,6.4
0400000US53,Washington,10000 to 14999,3,4.4
0400000US53,Washington,15000 to 24999,4,9.2
0400000US53,Washington,25000 to 34999,5,9.4
0400000US53,Washington,35000 to 49999,6,13.3
0400000US53,Washington,75000 to 99999,7,13.2
0400000US53,Washington,50000 to 74999,8,18.9
0400000US53,Washington,100000 to 149999,9,14.7
0400000US53,Washington,150000 to 199999,10,5.6
0400000US53,Washington,200000+,11,5
0400000US54,West Virginia,Total,1,739759
0400000US54,West Virginia,<10000,2,10.4
0400000US54,West Virginia,10000 to 14999,3,7.3
0400000US54,West Virginia,15000 to 24999,4,14.4
0400000US54,West Virginia,25000 to 34999,5,11.9
0400000US54,West Virginia,35000 to 49999,6,14.6
0400000US54,West Virginia,75000 to 99999,7,10.7
0400000US54,West Virginia,50000 to 74999,8,17.4
0400000US54,West Virginia,100000 to 149999,9,8.8
0400000US54,West Virginia,150000 to 199999,10,2.5
0400000US54,West Virginia,200000+,11,2
0400000US55,Wisconsin,Total,1,2281781
0400000US55,Wisconsin,<10000,2,6.2
0400000US55,Wisconsin,10000 to 14999,3,5.5
0400000US55,Wisconsin,15000 to 24999,4,11.1
0400000US55,Wisconsin,25000 to 34999,5,10.7
0400000US55,Wisconsin,35000 to 49999,6,14.7
0400000US55,Wisconsin,75000 to 99999,7,13.1
0400000US55,Wisconsin,50000 to 74999,8,19.9
0400000US55,Wisconsin,100000 to 149999,9,12.3
0400000US55,Wisconsin,150000 to 199999,10,3.5
0400000US55,Wisconsin,200000+,11,3
0400000US56,Wyoming,Total,1,222679
0400000US56,Wyoming,<10000,2,4.8
0400000US56,Wyoming,10000 to 14999,3,5
0400000US56,Wyoming,15000 to 24999,4,9.8
0400000US56,Wyoming,25000 to 34999,5,10.3
0400000US56,Wyoming,35000 to 49999,6,13.9
0400000US56,Wyoming,75000 to 99999,7,14.2
0400000US56,Wyoming,50000 to 74999,8,19.6
0400000US56,Wyoming,100000 to 149999,9,15.1
0400000US56,Wyoming,150000 to 199999,10,4.4
0400000US56,Wyoming,200000+,11,2.9
0400000US72,Puerto Rico,Total,1,1254274
0400000US72,Puerto Rico,<10000,2,28.9
0400000US72,Puerto Rico,10000 to 14999,3,11.8
0400000US72,Puerto Rico,15000 to 24999,4,18.6
0400000US72,Puerto Rico,25000 to 34999,5,12.3
0400000US72,Puerto Rico,35000 to 49999,6,11.6
0400000US72,Puerto Rico,75000 to 99999,7,3.5
0400000US72,Puerto Rico,50000 to 74999,8,9.4
0400000US72,Puerto Rico,100000 to 149999,9,2.4
0400000US72,Puerto Rico,150000 to 199999,10,0.8
0400000US72,Puerto Rico,200000+,11,0.6
